title,price,location
Apartment,"990,000AED","JennaMainSquare2,JennaMainSquare,TownSquare,Dubai"
Apartment,"760,000AED","SydneyTower,JumeirahVillageCircle,Dubai"
Apartment,"931,410AED","QGardensLofts,JumeirahVillageCircle,Dubai"
Apartment,"945,000AED","MayasGeneva,JumeirahVillageCircle,Dubai"
Apartment,"808,241AED","TheEastCrestbyMeteora,JumeirahVillageCircle,Dubai"
Apartment,"330,000AED","MISKApartments,Aljada,Sharjah"
Apartment,"925,000AED","8BoulevardWalk,MohammadBinRashidBoulevard,DowntownDubai,Dubai"
Apartment,"855,000AED","Elevate,Arjan,Dubai"
Apartment,"650,000AED","V2,DubaiSportsCity,Dubai"
Apartment,"705,000AED","ELANObyORO24,Arjan,Dubai"
Apartment,"995,000AED","JumeirahBayX1,JumeirahBayTowers,JumeirahLakeTowers,Dubai"
Apartment,"850,000AED","East40,AlFurjan,Dubai"
Apartment,"480,000AED","ResortzbyDanube,Arjan,Dubai"
Apartment,"777,000AED","EmpireResidence,JumeirahVillageCircle,Dubai"
Apartment,"750,000AED","PlazaResidences2,PlazaResidences,JumeirahVillageCircle,Dubai"
Apartment,"499,000AED","UniEstateSportsTower,DubaiSportsCity,Dubai"
Apartment,"979,000AED","WestwoodGrande,JumeirahVillageCircle,Dubai"
Apartment,"525,000AED","ELANObyORO24,Arjan,Dubai"
Apartment,"899,000AED","ZubaidaResidency,Majan,Dubai"
Apartment,"950,000AED","GolfPromenade3A,GolfPromenade,DAMACHills,Dubai"
Apartment,"850,000AED","PlazaResidences2,PlazaResidences,JumeirahVillageCircle,Dubai"
Apartment,"660,000AED","NortonCourt3,NortonCourt,MotorCity,Dubai"
Apartment,"550,000AED","Glitz1,Glitz,DubaiStudioCity,Dubai"
Apartment,"520,000AED","Se7enCityJLT,JumeirahLakeTowers,Dubai"
Apartment,"680,000AED","AZIZIRiviera,MeydanOne,Meydan,Dubai"
